state,x,y
Andhra Pradesh,-69,-155
Arunachal Pradesh,121,134
Assam,188,86
Bihar,50,68
Chhattisgarh,-9,-17
Goa,-165,-151
Gujarat,-208,7
Haryana,-112,137
Himachal Pradesh,-90,190
Jammu And Kashmir,-111,242
Jharkhand,49,20
Karnataka,-132,-164
Kerala,-117,-250
Madhya Pradesh,-88,16
Maharashtra,-141,-65
Manipur,210,54
Meghalaya,155,68
Mizoram,190,31
Nagaland,217,85
Odisha,41,-38
Punjab,-127,172
Rajasthan,-166,84
Sikkim,106,106
Tamil Nadu,-81,-247
Telangana,-67,-99
Tripura,166,31
Uttar Pradesh,-32,96
Uttarakhand,-58,154
West Bengal,94,18
